Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
0,3,4,6,1,5,7,1,1,1,40,0,1,0,2,11668,1,400,3,4,4,3,7,0,0,0,0,0,1,2,1,-1.0,1,1
11,1,5,13,1,5,12,5,1,1,47,1,0,0,1,6202,6,400,2,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,1,0
11,3,6,6,0,1,12,3,1,1,34,1,0,0,1,6397,8,400,1,4,4,0,5,0,0,0,0,0,3,1,0,-1.0,1,0
5,5,0,6,1,2,2,1,0,2,31,1,1,0,1,11281,10,400,3,4,4,1,5,0,0,0,3,0,1,1,1,-1.0,1,0
6,5,4,13,1,2,12,2,0,2,27,0,1,0,2,14244,16,400,2,4,4,1,6,0,0,0,1,0,1,2,1,-1.0,1,0
3,3,4,2,1,1,4,4,1,2,44,1,1,0,5,5982,2,400,1,4,4,3,5,0,0,0,6,0,1,0,1,-1.0,2,0
1,4,3,11,1,6,12,4,1,2,31,1,1,0,1,14274,6,400,2,4,4,3,5,0,0,0,6,0,1,2,1,-1.0,1,0
3,1,2,17,1,7,4,2,1,2,23,0,1,0,0,11210,5,400,3,4,4,1,5,0,0,0,0,0,1,1,1,-1.0,0,0
3,4,1,6,1,5,8,1,1,1,45,0,2,1,1,12763,8,400,2,4,4,3,6,0,0,0,3,0,1,2,2,-1.0,1,0
8,3,5,13,1,2,9,5,1,1,36,0,1,0,0,14753,10,400,4,4,4,3,7,0,0,0,0,0,1,2,1,-1.0,0,0
8,2,1,0,0,7,9,2,1,1,35,0,0,0,5,3502,2,400,4,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,2,1
8,2,0,9,1,6,9,4,1,1,42,0,1,0,1,12183,9,400,1,4,4,3,6,0,0,0,6,0,1,2,1,-1.0,1,1
4,3,3,13,1,2,5,3,0,1,35,1,2,1,1,9291,2,400,4,4,4,3,5,0,0,0,0,0,1,1,2,-1.0,1,0
0,3,6,17,1,7,9,2,1,1,38,1,0,0,1,1844,9,400,1,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,1,0
8,5,2,9,1,2,9,5,1,1,35,1,1,0,1,5887,10,400,3,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,0
4,3,3,5,1,5,5,3,1,1,56,1,1,0,2,12960,3,400,4,4,4,3,7,1,0,0,0,0,1,2,1,-1.0,1,0
11,4,1,2,1,6,12,4,1,1,34,1,0,0,1,13522,9,400,4,4,4,3,6,0,0,0,1,0,1,2,0,-1.0,1,0
10,2,3,6,0,2,11,2,1,1,44,1,0,0,1,3391,12,400,2,4,4,1,7,0,0,0,0,0,1,0,0,-1.0,1,0
11,1,1,5,1,7,12,1,1,1,60,0,2,1,2,14410,6,400,4,4,4,1,6,0,0,0,0,0,1,2,2,-1.0,1,0
0,2,2,9,1,2,1,2,1,1,55,1,0,0,1,8990,8,400,4,4,4,3,7,0,0,0,6,0,1,1,0,-1.0,1,0
4,3,1,6,1,1,5,3,0,1,43,1,2,1,1,8564,12,400,1,4,4,0,6,0,0,0,0,0,1,1,2,-1.0,1,0
9,1,0,6,1,2,10,1,1,2,21,0,2,1,1,10688,3,400,1,4,4,3,4,0,0,0,6,0,1,1,2,-1.0,1,0
6,4,4,6,1,7,7,5,1,1,49,0,2,1,5,13504,13,400,2,4,4,3,4,0,0,0,0,4,2,2,2,-1.0,2,0
3,5,5,18,1,1,8,3,1,1,48,0,2,1,4,9344,3,400,1,4,4,5,6,0,0,0,6,0,1,1,2,-1.0,2,0
10,3,0,6,1,6,11,3,1,2,45,1,4,1,5,417,2,400,3,4,4,1,4,0,0,0,0,0,1,0,1,-1.0,2,0
6,3,0,6,1,6,6,3,1,1,51,0,0,0,5,12472,3,400,3,4,4,0,0,0,0,0,0,0,1,2,0,-1.0,2,0
0,4,3,17,0,2,1,4,1,2,19,0,0,0,1,14345,4,400,1,4,4,1,2,0,0,0,1,0,1,2,0,-1.0,1,0
3,2,4,9,1,1,4,2,1,1,68,0,1,0,2,6977,5,400,4,4,4,3,7,0,0,0,1,0,1,1,1,-1.0,1,0
0,5,4,0,1,7,9,1,0,1,26,0,2,1,1,2122,16,400,2,4,4,1,6,0,0,0,0,4,2,0,2,-1.0,1,0
6,3,3,13,1,2,7,3,1,1,38,0,2,1,2,8165,7,400,2,4,4,3,6,0,0,0,0,0,1,1,2,-1.0,1,0
5,4,1,9,0,7,6,4,1,1,56,0,2,1,5,11218,8,400,3,4,4,5,7,0,0,0,1,0,1,1,2,-1.0,2,0
8,2,5,9,1,6,9,2,0,2,32,0,2,1,1,8164,7,400,3,4,4,1,6,0,0,0,0,0,1,1,2,-1.0,1,0
5,2,0,13,1,1,6,3,1,1,32,0,1,0,2,6334,12,400,2,4,4,3,6,0,0,0,0,0,1,1,1,-1.0,1,0
6,3,5,13,1,1,7,4,1,1,44,0,1,0,2,8519,12,400,3,4,4,0,7,0,0,0,3,0,1,1,1,-1.0,1,0
4,4,1,13,1,2,5,4,1,1,47,0,0,0,0,10283,12,400,4,4,4,0,7,0,0,0,0,0,1,1,0,-1.0,0,0
10,3,2,17,1,2,11,4,1,1,64,1,1,0,1,12688,13,400,1,4,4,3,7,0,0,0,1,0,1,2,1,-1.0,1,0
0,2,2,17,1,3,1,2,1,1,30,0,1,0,1,12375,4,400,3,4,4,3,5,0,0,0,0,0,1,2,1,-1.0,1,0
11,1,2,17,1,2,12,1,1,1,30,0,2,1,1,4945,2,400,3,3,4,1,4,0,0,0,3,0,1,0,2,-1.0,1,0
7,2,5,0,1,7,8,4,1,1,54,0,0,0,2,15274,14,400,4,4,4,1,7,0,0,0,0,0,1,2,0,-1.0,1,0
4,1,1,13,1,2,5,1,1,2,26,0,2,1,2,8713,14,400,2,4,4,3,6,0,0,0,0,0,1,1,2,-1.0,1,0
1,3,3,9,1,5,2,5,1,1,63,0,2,1,1,23,8,400,3,4,4,1,7,0,0,0,1,0,1,0,2,-1.0,1,0
4,1,1,9,0,6,5,2,1,2,28,1,4,1,5,9065,10,400,1,4,4,1,4,0,0,0,0,0,1,1,1,-1.0,2,0
0,4,5,6,1,6,1,4,1,1,63,0,2,1,1,4748,10,400,3,4,4,5,7,0,0,0,6,0,1,0,2,-1.0,1,0
5,1,2,13,0,6,6,1,0,1,43,1,2,1,2,9490,2,400,1,4,4,0,6,0,0,0,6,0,1,1,2,-1.0,1,0
10,2,4,6,1,5,11,2,1,2,27,0,2,1,2,4775,15,400,3,4,4,5,4,0,0,0,3,0,1,0,2,-1.0,1,0
10,2,0,2,1,2,11,3,1,1,35,1,1,0,2,14970,4,400,3,4,4,1,4,0,0,0,3,0,1,2,1,-1.0,1,0
10,2,4,2,1,5,11,2,1,1,65,0,2,1,1,10739,16,400,2,4,4,5,7,0,0,0,3,1,1,1,2,-1.0,1,0
8,1,1,17,1,1,9,1,0,1,45,1,2,1,2,2363,13,400,2,4,4,3,6,0,0,0,0,0,1,0,2,-1.0,1,0
3,5,1,17,0,2,8,2,1,1,34,0,1,0,1,10230,3,400,3,4,4,1,5,0,0,0,6,0,1,1,1,-1.0,1,0
3,1,5,9,1,6,4,1,1,2,24,1,4,1,5,12963,9,400,2,4,4,0,5,0,0,0,6,0,1,2,1,-1.0,2,0
10,5,1,13,1,6,10,1,1,1,60,0,2,1,2,6409,10,400,3,4,4,1,7,0,0,0,6,0,1,1,2,-1.0,1,0
