Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
7,5,4,17,1,5,1,4,1,1,61,0,0,0,2,2469,15,400,4,4,4,5,7,0,0,0,0,0,1,0,0,-1.0,1,1
10,2,1,13,1,2,11,3,0,2,29,1,1,0,1,11746,5,400,2,4,4,0,4,0,0,0,1,0,1,2,1,-1.0,1,0
7,4,0,5,1,1,1,1,1,3,63,0,0,0,2,12778,13,400,1,4,4,5,6,0,0,0,6,0,1,2,0,-1.0,1,0
0,3,2,13,0,7,9,1,1,1,57,0,1,0,1,5159,5,400,2,4,4,0,7,0,0,0,1,0,1,0,1,-1.0,1,0
5,3,4,9,1,1,2,1,1,1,32,0,2,1,5,12677,6,400,1,4,4,3,6,0,0,0,0,0,1,2,2,-1.0,2,0
1,5,1,6,1,7,2,5,1,1,44,1,0,0,1,10282,6,400,1,4,4,1,6,0,0,0,6,0,1,1,0,-1.0,1,0
2,3,5,9,1,2,5,1,1,1,29,1,0,0,2,8736,16,400,1,4,4,5,5,0,0,0,6,0,1,1,0,-1.0,1,0
1,5,6,2,1,6,12,2,1,1,46,1,1,0,3,11489,15,400,3,1,4,1,7,1,0,0,0,0,1,2,1,-1.0,2,0
2,3,4,6,1,2,5,1,1,1,39,0,4,1,5,195,13,400,3,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,2,1
8,2,6,13,1,2,7,3,1,2,28,0,1,0,0,13703,12,400,1,4,4,5,4,0,0,0,0,0,1,2,1,-1.0,0,0
1,4,0,6,1,2,2,5,1,1,41,0,0,0,2,883,7,400,4,4,4,1,6,0,0,0,1,4,2,0,0,-1.0,1,0
8,4,3,9,0,6,7,2,1,1,40,0,0,0,2,8571,5,400,4,4,4,3,5,0,0,0,0,0,1,1,0,-1.0,1,0
8,3,1,17,1,6,9,3,1,1,43,0,2,1,2,5999,1,400,1,4,4,5,6,0,0,0,6,0,1,0,2,-1.0,1,0
11,3,5,17,1,1,12,5,0,1,34,0,2,1,1,15023,16,400,4,4,4,3,5,0,0,0,0,0,1,2,2,-1.0,1,0
5,3,0,6,1,5,6,3,1,1,38,1,4,1,5,2138,11,400,2,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,2,0
10,2,3,17,1,7,8,3,1,1,45,0,2,1,3,12742,5,700,3,4,4,5,6,0,0,0,6,0,1,2,2,-1.0,2,0
2,4,1,13,1,3,5,1,1,2,24,0,0,0,1,9129,7,400,2,4,4,0,4,0,0,0,0,0,1,1,0,-1.0,1,0
10,2,1,6,0,1,11,5,1,1,48,0,2,1,1,6591,15,400,4,4,4,5,6,0,0,0,3,0,1,1,2,-1.0,1,0
3,4,0,6,1,2,8,4,1,2,0,0,0,0,5,1556,10,400,2,4,4,0,0,1,0,0,0,0,1,0,0,-1.0,2,1
0,2,1,17,1,2,9,1,1,1,65,0,1,0,1,2980,10,400,4,4,4,3,7,0,0,0,0,0,1,0,1,-1.0,1,0
5,1,1,17,1,2,6,1,1,2,26,0,2,1,5,11977,5,400,1,4,4,3,6,0,0,0,1,0,1,2,2,-1.0,2,0
3,1,4,6,1,2,4,1,1,2,21,0,1,0,1,8596,7,400,1,4,4,1,4,0,0,0,1,0,1,1,1,-1.0,1,0
