,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
9,4,4,0,2,1,7,5,4,0,2,37,1,2,1,5,163,5,400,3,4,4,1,6,0,0,0,1,0,1,0,2,-1.0,2,0
21,2,4,5,2,1,5,3,5,1,1,43,1,1,0,2,6612,6,400,4,4,4,1,6,1,0,0,0,0,1,1,1,-1.0,1,0
31,4,4,2,2,1,2,5,4,0,2,53,1,2,1,2,6701,2,400,2,4,4,3,7,0,0,0,0,0,1,1,2,-1.0,1,0
33,2,2,5,9,1,6,3,2,0,2,32,0,2,1,2,2972,6,400,2,4,4,3,6,0,0,0,0,0,1,0,2,-1.0,1,0
60,6,3,5,6,1,6,6,2,0,2,27,0,2,1,1,12916,15,400,4,4,4,1,6,0,0,0,1,4,3,2,2,-1.0,1,0
63,2,3,5,13,1,5,3,4,1,1,39,0,2,1,1,13229,16,400,3,4,4,3,6,0,0,0,3,0,1,2,2,-1.0,1,0
70,3,3,1,17,1,5,4,4,0,1,44,0,0,0,1,12235,4,400,1,4,4,1,6,0,0,0,0,0,1,2,0,-1.0,1,0
81,9,3,5,6,1,2,3,2,1,1,47,0,1,0,1,7959,9,400,3,4,4,1,7,0,0,0,3,0,1,1,1,-1.0,1,0
83,1,4,0,6,1,2,2,5,0,2,24,0,1,0,1,1886,5,400,2,4,4,5,3,0,0,0,0,0,1,0,1,-1.0,1,0
87,5,4,5,6,1,6,2,4,1,1,33,0,0,0,2,15347,14,400,2,4,4,5,5,0,0,0,3,0,1,2,0,-1.0,1,0
92,8,4,0,2,1,2,7,2,0,2,32,1,0,0,1,15051,13,400,1,4,4,0,5,0,0,0,6,0,1,2,0,-1.0,1,0
97,1,5,6,0,1,7,12,4,1,1,43,0,0,0,2,1475,13,400,2,4,4,1,7,0,0,0,3,0,1,0,0,-1.0,1,0
100,6,3,6,13,1,1,7,3,0,2,41,1,1,0,2,3854,2,400,1,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,0
104,3,3,1,2,1,6,4,3,0,1,29,0,0,0,1,10350,4,400,4,4,4,1,5,0,0,0,6,0,1,1,0,-1.0,1,0
134,0,4,6,6,1,5,9,2,1,1,30,0,1,0,1,14553,15,400,2,4,4,3,6,0,0,0,1,0,1,2,1,-1.0,1,0
152,1,3,6,2,1,2,2,4,1,1,57,0,2,1,2,4168,7,400,3,4,4,1,7,0,0,0,3,0,1,0,2,-1.0,1,0
157,4,2,5,17,1,7,5,2,0,1,39,0,1,0,2,13773,8,400,2,4,4,1,6,0,0,1,0,0,1,2,1,-1.0,1,0
160,4,2,4,9,1,2,4,4,1,1,39,0,2,1,2,11259,16,400,4,4,4,3,6,0,0,0,6,0,1,1,2,-1.0,1,0
161,4,5,2,0,1,2,4,2,0,1,54,0,1,0,2,10405,10,400,4,4,4,1,4,0,0,0,0,2,1,1,1,-1.0,1,0
166,0,2,5,6,1,2,1,3,1,1,38,0,2,1,2,1299,8,400,2,4,4,5,6,0,0,0,0,0,1,0,2,-1.0,1,0
173,4,4,5,6,1,5,5,4,0,0,31,0,1,0,1,10092,7,400,2,4,4,5,4,1,0,0,0,0,1,1,1,-1.0,1,0
189,10,2,4,6,1,5,3,5,1,1,32,1,1,0,1,11645,1,400,3,4,4,1,6,0,0,0,0,0,3,2,1,-1.0,1,0
202,6,4,3,13,1,6,6,1,0,1,45,0,2,1,2,14179,16,500,3,4,4,3,6,0,0,0,3,2,1,2,2,-1.0,1,0
211,0,2,1,6,1,6,1,2,0,2,42,1,2,1,1,14164,10,400,4,4,4,3,6,0,0,0,3,0,1,2,2,-1.0,1,0
