Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
3,1,3,9,1,6,4,2,1,1,47,0,1,0,1,555,3,400,3,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,1,0
6,5,5,6,1,5,7,5,0,1,28,0,2,1,1,2357,16,400,1,4,4,3,5,0,0,0,6,0,1,0,2,-1.0,1,0
11,1,1,13,1,6,12,1,1,2,30,0,1,0,1,14733,6,400,3,4,4,3,5,0,0,0,3,0,1,2,1,-1.0,1,0
4,3,4,9,1,5,5,3,0,2,33,0,2,1,1,13673,8,400,3,4,4,5,5,0,0,0,1,0,1,2,2,-1.0,1,0
11,2,6,17,1,1,12,2,1,2,33,0,0,0,1,7411,12,400,1,4,4,3,5,0,0,0,3,0,1,1,0,-1.0,1,0
6,2,5,9,1,7,7,3,1,1,53,0,2,1,2,6047,16,400,4,4,4,1,7,0,0,0,6,0,1,0,2,-1.0,1,0
10,2,0,13,1,6,11,2,1,1,50,1,0,0,1,7413,15,400,2,4,4,0,6,0,0,0,1,0,1,1,0,-1.0,1,0
4,2,6,17,1,5,5,2,1,1,64,0,1,0,1,10179,8,400,1,4,4,3,7,0,0,0,0,0,1,1,1,-1.0,1,0
6,2,4,9,1,2,7,2,1,1,35,0,1,0,2,12835,1,700,4,4,4,3,6,0,0,0,6,0,1,2,1,-1.0,1,1
6,2,4,6,1,5,7,2,1,1,46,0,1,0,2,6111,14,400,4,4,4,3,7,0,0,0,0,0,1,0,1,-1.0,1,0
10,5,3,2,1,6,11,5,1,1,39,0,0,0,2,4017,15,400,4,4,4,1,6,0,0,0,1,0,1,0,0,-1.0,1,0
4,2,6,9,1,6,1,4,0,2,27,1,0,0,1,5747,1,400,2,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,1,0
8,5,1,13,1,1,7,1,0,1,26,1,0,0,2,13458,3,400,4,4,4,1,6,0,0,0,1,0,1,2,0,-1.0,1,0
9,2,5,2,1,7,10,2,1,1,50,0,0,0,2,10813,1,500,3,4,4,1,7,0,0,0,3,2,1,1,0,-1.0,1,0
1,4,6,2,1,5,2,4,0,2,35,1,1,0,1,2811,5,400,1,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,1,0
6,3,6,3,1,5,7,3,1,1,53,0,2,1,2,2430,15,400,2,4,4,1,7,0,0,0,0,0,1,0,2,-1.0,1,0
3,1,6,17,1,5,4,1,1,1,47,0,1,0,0,3814,11,700,3,4,4,3,6,0,0,0,0,0,3,0,1,-1.0,0,0
1,2,2,13,0,2,2,3,1,1,31,1,1,0,1,9411,13,400,3,4,4,3,6,0,0,0,6,0,1,1,1,-1.0,1,0
6,4,0,6,1,5,7,5,1,2,33,0,1,0,2,12864,3,400,1,4,4,3,6,0,0,0,0,0,1,2,1,-1.0,1,0
0,1,6,6,1,5,1,2,1,2,35,0,1,0,2,314,15,400,3,4,4,0,6,0,0,0,3,0,1,0,1,-1.0,1,0
2,5,4,6,1,6,5,2,1,1,31,0,0,0,1,7442,10,400,4,4,4,0,6,0,0,0,3,0,1,1,0,-1.0,1,0
0,1,1,6,1,2,1,1,1,2,44,0,2,1,5,2614,8,400,2,4,4,5,7,0,0,0,6,0,1,0,2,-1.0,2,0
5,5,2,9,1,7,2,1,1,2,27,1,2,1,1,4004,9,400,1,4,4,5,5,0,0,0,6,0,1,0,2,-1.0,1,0
2,1,4,13,1,5,5,4,1,1,32,0,2,1,0,15381,15,400,4,4,4,0,6,0,0,0,1,0,1,2,2,-1.0,0,0
4,1,3,17,1,6,5,1,1,1,64,0,1,0,1,69,5,400,1,4,4,1,7,0,0,0,0,0,1,0,1,-1.0,1,0
7,2,4,0,1,5,8,2,0,2,49,0,2,1,5,15278,13,400,3,4,4,3,6,0,0,0,6,0,1,2,2,-1.0,2,0
1,4,3,9,1,7,2,4,1,1,47,0,1,0,2,2925,5,400,2,4,4,3,7,0,0,0,0,0,1,0,1,-1.0,1,0
3,2,1,5,1,7,1,3,1,2,21,0,0,0,2,7991,11,400,1,4,4,3,4,0,0,0,1,0,1,1,0,-1.0,1,0
3,2,2,5,1,2,4,3,1,1,62,1,1,0,3,1227,11,400,1,4,4,3,7,0,0,0,0,0,1,0,1,-1.0,2,0
3,1,0,13,1,2,4,2,1,1,27,0,0,0,0,6971,3,400,2,4,4,0,5,0,0,0,6,0,3,1,0,-1.0,0,0
9,1,4,13,1,5,10,1,1,1,27,0,2,1,1,8920,10,400,4,4,4,3,5,0,0,1,3,0,1,1,2,-1.0,1,0
10,3,0,13,1,1,11,4,1,2,38,0,2,1,1,5209,13,700,1,4,4,3,6,0,0,0,0,4,2,0,2,-1.0,1,0
6,2,1,17,1,1,7,3,1,2,30,0,2,1,5,14798,9,400,4,4,4,5,6,0,0,0,0,0,1,2,2,-1.0,2,0
1,5,5,2,1,5,12,1,1,1,39,0,1,0,1,4760,15,400,1,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,0
1,1,6,9,1,7,2,4,1,1,63,0,0,0,1,11734,6,400,1,4,4,3,7,0,0,0,0,0,1,2,0,-1.0,1,0
6,5,4,13,0,6,6,1,1,1,45,0,1,0,1,11721,3,400,2,4,4,3,6,0,0,0,0,0,1,2,1,-1.0,1,0
3,2,2,13,1,7,1,1,1,1,44,0,1,0,2,5371,14,400,4,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,0
10,5,3,2,1,5,10,1,1,2,30,1,0,0,2,9726,15,400,2,4,4,0,5,0,0,0,0,0,1,1,0,-1.0,1,0
7,4,1,2,1,5,1,2,1,1,42,1,1,0,2,6983,7,400,1,4,4,3,6,0,0,0,1,0,1,1,1,-1.0,1,0
9,2,2,9,1,6,10,3,1,1,41,0,0,0,1,13019,2,400,2,4,4,0,6,0,0,0,6,0,1,2,0,-1.0,1,0
