,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
309,2,5,0,6,1,6,5,1,1,2,0,0,0,0,5,310,6,400,3,4,4,1,0,0,0,0,0,0,1,0,0,-1.0,2,1
11981,8,1,4,15,1,6,9,2,0,2,28,0,0,0,2,11982,10,400,4,4,4,5,5,0,0,0,0,0,1,2,0,-1.0,1,1
10412,3,4,1,6,1,6,8,3,1,1,44,0,0,0,1,10413,16,400,3,4,4,1,6,0,0,0,1,0,1,1,0,-1.0,1,1
13425,5,2,1,17,1,1,6,4,0,1,30,0,0,0,1,13426,7,400,1,4,4,1,5,0,0,0,0,0,1,2,0,-1.0,1,1
13630,5,3,5,5,1,1,12,2,1,1,41,0,0,0,3,13631,15,400,4,4,4,3,7,0,0,0,3,0,1,2,0,-1.0,2,1
13517,5,2,4,9,1,2,6,3,1,2,37,0,4,1,5,13518,16,400,1,4,4,0,7,0,0,0,6,0,1,2,1,-1.0,2,1
10642,7,2,6,6,1,2,8,2,1,1,53,0,1,0,2,10643,2,400,1,4,4,0,7,0,0,0,0,0,1,1,1,-1.0,1,1
14750,11,4,0,13,1,6,12,4,1,2,24,0,1,0,1,14751,1,400,3,4,4,0,4,0,0,0,0,0,1,2,1,-1.0,1,1
4968,5,2,0,13,1,6,6,2,1,1,39,0,1,0,1,4969,6,400,3,4,4,0,6,0,1,0,0,0,1,0,1,-1.0,1,1
9006,2,5,2,13,0,7,5,1,1,1,34,0,1,0,1,9007,12,400,2,4,4,3,4,0,0,0,1,0,1,1,1,-1.0,1,1
10873,7,3,0,0,1,6,8,4,1,1,36,0,1,0,5,10874,14,400,1,4,4,3,6,0,0,0,0,0,1,1,1,-1.0,2,1
3492,8,2,1,6,1,2,9,3,1,1,48,0,0,0,0,3493,16,400,3,4,4,0,7,0,0,0,0,0,1,0,0,-1.0,0,1
10414,3,4,1,9,1,7,8,1,1,2,34,0,1,0,1,10415,10,400,2,0,2,0,4,0,0,0,0,0,3,1,1,-1.0,1,1
905,4,5,0,17,1,1,4,2,1,1,61,0,0,0,1,906,13,400,1,4,4,3,7,0,0,0,0,0,1,0,0,-1.0,1,1
536,4,2,1,2,1,7,5,3,1,1,33,0,1,0,1,537,13,400,1,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,1,1
11344,0,1,4,13,1,6,1,2,1,1,43,0,1,0,2,11345,7,400,1,4,4,0,7,0,0,0,6,0,1,2,1,-1.0,1,1
11069,7,4,3,2,1,7,1,1,1,2,32,0,0,0,3,11070,8,400,1,2,3,1,5,0,0,0,0,0,1,1,0,-1.0,2,1
7821,9,2,5,2,0,6,10,3,1,2,29,0,6,2,5,7822,2,400,2,4,4,0,5,0,0,0,0,0,1,1,0,-1.0,2,1
789,4,4,3,13,1,7,5,4,1,1,39,0,0,0,1,790,11,400,2,4,4,0,5,0,0,0,0,0,1,0,0,-1.0,1,1
10878,7,3,0,6,1,7,8,4,1,1,35,0,1,0,1,10879,5,400,1,4,4,1,5,0,0,0,0,4,2,1,1,-1.0,1,1
12160,8,2,0,13,1,7,2,2,1,1,39,0,6,2,5,12161,6,400,3,4,4,3,7,0,0,0,1,0,1,2,0,-1.0,2,1
9483,4,4,2,2,1,6,5,4,0,1,49,0,1,0,1,9484,15,400,1,4,4,3,6,0,0,0,3,0,1,1,1,-1.0,1,1
522,4,2,1,2,1,6,5,4,1,1,37,0,2,1,1,523,13,400,2,4,4,3,7,0,0,0,1,0,1,0,2,-1.0,1,1
11330,0,1,6,6,1,5,1,1,1,2,16,0,4,1,5,11331,1,400,2,4,4,3,3,0,0,0,0,0,1,1,1,-1.0,2,1
11667,0,3,4,6,1,5,7,1,1,1,40,0,1,0,2,11668,1,400,3,4,4,3,7,0,0,0,0,0,1,2,1,-1.0,1,1
9439,4,3,0,6,1,1,5,3,1,1,72,0,0,0,0,9440,7,400,3,4,4,3,7,0,0,0,3,0,1,1,0,-1.0,0,1
14571,11,2,6,13,1,2,12,3,1,1,40,0,1,0,1,14572,1,400,2,4,4,0,5,0,0,0,0,0,1,2,1,-1.0,1,1
10837,7,3,6,6,1,7,8,4,1,2,53,0,0,0,1,10838,2,400,1,4,4,1,7,0,0,0,6,0,1,1,0,-1.0,1,1
8458,2,2,6,13,1,7,3,3,1,2,57,0,1,0,2,8459,2,400,3,4,4,5,7,0,0,0,3,0,1,1,1,-1.0,1,1
2240,7,4,5,17,1,6,2,1,1,1,52,0,0,0,5,2241,1,400,1,4,4,1,7,0,0,0,0,0,1,0,0,-1.0,2,1
3598,8,2,4,17,1,6,9,4,1,1,39,0,0,0,0,3599,12,400,3,0,3,3,5,0,0,0,1,0,1,0,0,-1.0,0,1
5434,1,1,1,13,0,2,2,1,1,2,48,0,0,0,0,5435,1,400,4,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,0,1
7427,10,4,3,13,1,5,11,4,0,2,31,0,1,0,0,7428,3,400,3,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,0,1
12568,8,5,1,6,1,7,9,5,1,1,45,0,1,0,1,12569,15,400,4,4,4,1,7,0,0,0,0,0,1,2,1,-1.0,1,1
5478,1,1,6,18,1,2,2,2,1,2,27,0,1,0,3,5479,7,400,2,4,4,3,5,0,0,0,0,0,1,0,1,-1.0,2,1
1424,3,3,3,13,0,7,8,1,1,1,54,0,0,0,0,1425,4,400,4,4,4,3,7,0,0,0,0,0,1,0,0,-1.0,0,1
1396,3,3,2,13,1,2,8,3,1,2,33,0,1,0,2,1397,12,400,2,4,4,1,5,0,0,0,0,0,1,0,1,-1.0,1,1
6680,11,4,1,5,1,6,12,4,1,1,63,0,0,0,5,6681,11,400,2,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,2,1
189,2,2,1,9,1,2,5,1,1,1,43,0,0,0,2,190,10,400,2,4,4,3,7,0,0,0,0,4,2,0,0,-1.0,1,1
4337,6,2,5,13,1,7,7,2,1,1,61,0,0,0,0,4338,3,400,1,4,4,1,7,0,0,0,6,0,1,0,0,-1.0,0,1
11113,7,5,5,0,1,7,1,1,1,1,34,0,6,2,5,11114,4,400,2,4,4,0,4,0,0,0,0,0,1,1,0,-1.0,2,1
13095,6,3,5,2,1,5,7,4,1,1,37,0,1,0,1,13096,8,400,3,4,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,1
5896,1,4,6,6,1,1,2,4,1,2,58,0,1,0,1,5897,16,400,1,4,4,0,5,0,0,0,0,0,1,0,1,-1.0,1,1
4202,6,1,0,9,1,2,6,1,1,1,53,0,1,0,5,4203,15,400,1,4,4,3,6,0,0,0,3,0,1,0,1,-1.0,2,1
6300,11,2,3,17,1,2,12,2,1,1,37,0,2,1,1,6301,14,400,1,4,4,0,6,0,0,0,6,4,2,1,2,-1.0,1,1
15405,9,3,6,13,1,6,3,2,1,2,27,0,1,0,1,15406,11,400,1,4,4,0,5,0,0,0,3,0,1,2,1,-1.0,1,1
7798,9,2,1,5,1,7,8,1,1,1,64,0,0,0,3,7799,16,400,4,4,4,3,5,0,0,0,6,0,1,1,0,-1.0,2,1
9262,4,2,4,9,1,2,5,3,1,1,53,0,1,0,2,9263,14,400,2,4,4,3,7,0,0,0,6,0,1,1,1,-1.0,1,1
9669,4,4,0,6,1,2,5,5,1,1,37,0,4,1,5,9670,12,400,4,4,4,3,6,0,0,0,0,0,1,1,1,-1.0,2,1
12739,6,1,2,17,1,6,7,1,1,1,43,0,1,0,1,12740,11,400,3,4,4,3,6,0,0,0,6,0,1,2,1,-1.0,1,1
6921,10,1,5,13,0,5,11,1,1,1,78,0,0,0,1,6922,4,400,1,4,4,0,7,0,0,0,0,0,1,1,0,-1.0,1,1
3097,0,4,3,13,1,6,9,1,1,2,30,0,1,0,1,3098,16,400,1,4,4,0,4,0,0,0,0,0,1,0,1,-1.0,1,1
9613,4,4,4,13,1,1,4,1,0,2,26,0,0,0,1,9614,16,400,2,4,4,3,5,0,0,0,0,0,1,1,0,-1.0,1,1
4087,8,5,3,6,0,6,9,5,1,1,35,0,0,0,1,4088,9,400,3,4,4,0,5,0,0,0,3,0,1,0,0,-1.0,1,1
12803,6,2,6,6,1,2,7,4,1,2,30,0,1,0,1,12804,15,400,1,4,4,0,5,0,0,0,3,0,1,2,1,-1.0,1,1
949,4,5,3,13,0,6,4,1,1,1,27,0,1,0,2,950,15,400,3,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,1
11447,0,2,1,0,1,7,1,4,1,1,50,0,1,0,3,11448,10,400,4,4,4,3,7,0,0,0,1,0,1,2,1,-1.0,2,1
10509,7,1,0,6,1,7,8,2,0,2,32,0,4,1,5,10510,11,400,3,4,4,1,5,0,0,0,0,0,1,1,1,-1.0,2,1
1199,3,2,0,13,0,1,4,3,1,2,30,0,1,0,2,1200,12,400,3,4,4,1,5,0,0,0,0,0,1,0,1,-1.0,1,1
11600,0,3,1,6,1,6,1,4,1,1,42,0,2,1,5,11601,10,400,2,4,4,0,6,0,0,0,6,0,1,2,2,-1.0,2,1
7870,9,2,4,6,1,1,10,2,1,2,36,0,1,0,1,7871,13,400,1,4,4,0,6,0,0,0,6,0,1,1,1,-1.0,1,1
3406,8,1,0,13,1,1,9,1,1,2,39,0,1,0,0,3407,5,400,1,4,4,0,6,0,0,0,1,0,1,0,1,-1.0,0,1
1777,7,1,3,9,1,2,8,2,1,2,29,0,1,0,2,1778,3,400,4,4,4,5,5,0,0,0,3,0,1,0,1,-1.0,1,1
6184,11,1,5,6,1,1,12,2,1,1,53,0,0,0,1,6185,12,400,4,4,4,1,7,0,0,0,1,0,1,1,0,-1.0,1,1
5863,1,4,5,17,1,7,2,4,1,1,72,0,0,0,5,5864,15,400,1,4,4,3,6,0,0,0,6,0,3,0,0,-1.0,2,1
8465,2,2,6,13,1,2,3,2,0,1,30,0,0,0,0,8466,6,400,3,4,4,1,5,0,0,0,6,0,1,1,0,-1.0,0,1
945,4,5,3,9,0,1,8,4,1,1,46,0,0,0,1,946,6,400,3,4,4,3,4,0,0,0,1,4,2,0,0,-1.0,1,1
6030,1,5,5,2,1,1,12,1,1,1,57,0,0,0,2,6031,1,400,1,4,4,3,7,0,0,0,0,0,1,0,0,-1.0,1,1
12723,6,1,0,13,1,2,7,1,1,2,35,0,1,0,1,12724,3,400,3,4,4,3,6,0,0,0,6,0,1,2,1,-1.0,1,1
542,4,2,5,6,1,1,5,4,1,2,0,0,0,0,5,543,12,400,4,4,4,0,0,0,0,0,0,0,1,0,0,-1.0,2,1
6751,11,5,6,17,1,2,11,3,1,1,43,0,1,0,5,6752,1,400,3,4,4,5,5,0,0,0,6,0,1,1,1,-1.0,2,1
7729,9,1,0,13,1,5,10,2,1,1,28,0,0,0,2,7730,15,400,1,4,4,1,5,0,0,0,6,0,1,1,0,-1.0,1,1
9985,3,2,6,5,1,5,4,3,1,1,51,0,6,2,5,9986,2,400,2,4,4,5,6,0,0,0,0,0,1,1,0,-1.0,2,1
4175,6,1,4,9,1,1,7,1,1,2,32,0,0,0,1,4176,16,400,4,4,4,0,6,0,0,0,0,0,1,0,0,-1.0,1,1
4375,6,2,6,13,1,6,6,1,0,1,45,0,0,0,1,4376,7,400,1,4,4,1,7,0,0,0,1,0,1,0,0,-1.0,1,1
10703,7,2,0,0,1,2,8,2,1,1,46,0,0,0,5,10704,7,400,3,4,4,3,6,0,0,0,1,0,1,1,0,-1.0,2,1
13909,1,1,0,5,1,2,2,2,1,1,53,0,0,0,3,13910,3,400,1,4,4,0,7,0,0,0,3,0,1,2,0,-1.0,2,1
3460,8,2,3,9,1,2,9,2,1,2,21,0,1,0,2,3461,10,400,1,4,4,1,4,0,0,0,0,0,1,0,1,-1.0,1,1
2204,7,4,1,17,1,1,1,2,1,1,57,0,1,0,1,2205,16,400,1,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,1,1
3856,8,4,2,6,1,6,9,4,1,2,0,0,0,0,5,3857,3,400,1,4,4,3,0,0,0,0,0,0,1,0,0,-1.0,2,1
533,4,2,1,13,1,1,5,3,1,1,33,0,1,0,1,534,7,400,3,4,4,3,4,0,0,0,1,0,3,0,1,-1.0,1,1
2788,0,2,5,16,1,6,1,3,1,2,25,0,0,0,1,2789,1,400,4,4,4,1,4,0,0,0,0,0,3,0,0,-1.0,1,1
6822,10,1,2,0,1,2,1,4,1,2,58,0,0,0,5,6823,5,400,2,4,4,3,7,0,0,0,1,0,1,1,0,-1.0,2,1
14405,11,1,1,13,1,7,12,2,1,2,34,0,1,0,2,14406,4,400,3,4,4,5,4,0,0,0,6,0,1,2,1,-1.0,1,1
6031,1,5,5,13,1,7,2,5,1,1,52,0,0,0,0,6032,13,400,3,4,4,0,7,0,0,0,6,0,1,0,0,-1.0,0,1
235,2,4,4,2,1,6,5,2,1,1,26,0,0,0,1,236,16,400,4,4,4,0,5,0,0,0,3,0,1,0,0,-1.0,1,1
9106,4,1,4,6,1,6,5,4,1,1,29,0,0,0,1,9107,5,400,1,4,4,1,6,0,0,0,6,0,1,1,0,-1.0,1,1
9808,3,1,4,17,1,2,4,1,1,1,51,0,0,0,0,9809,16,400,3,4,4,0,5,0,0,0,0,0,1,1,0,-1.0,0,1
14223,1,4,0,13,1,1,3,1,1,1,39,0,1,0,5,14224,9,400,3,0,4,0,6,0,0,0,0,0,1,2,1,-1.0,2,1
10384,3,4,3,6,1,7,8,1,1,2,18,0,4,1,5,10385,11,400,2,4,4,3,4,0,0,0,0,0,1,1,1,-1.0,2,1
1418,3,3,2,13,1,7,8,1,0,2,32,0,2,1,1,1419,16,400,3,4,4,1,4,0,0,0,0,0,1,0,2,-1.0,1,1
2484,0,1,0,13,0,7,3,3,1,1,26,0,0,0,1,2485,6,400,4,4,4,0,6,0,0,0,0,0,1,0,0,-1.0,1,1
7165,10,2,4,6,1,7,10,2,1,2,35,0,1,0,2,7166,12,400,3,4,4,5,6,0,0,0,6,0,1,1,1,-1.0,1,1
9433,4,3,0,17,1,6,5,4,1,1,27,0,1,0,1,9434,6,400,3,4,4,0,5,0,0,0,1,0,1,1,1,-1.0,1,1
5684,1,3,3,17,1,1,2,3,1,2,32,0,0,0,1,5685,4,400,3,4,4,5,5,0,0,0,6,0,1,0,0,-1.0,1,1
9268,4,2,4,5,1,6,5,4,1,1,50,0,0,0,0,9269,7,400,2,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,0,1
4655,6,4,6,6,1,1,7,4,1,2,0,0,1,0,5,4656,15,400,4,4,4,0,0,0,0,0,0,0,1,0,1,-1.0,2,1
11139,7,5,6,13,1,5,8,5,1,1,39,0,1,0,1,11140,5,400,3,4,4,5,7,0,0,0,6,0,1,1,1,-1.0,1,1
10529,7,1,2,13,1,5,8,2,1,1,45,0,2,1,1,10530,5,400,2,4,4,1,6,0,0,0,6,0,1,1,2,-1.0,1,1
14387,11,1,2,17,1,1,12,3,0,1,48,0,0,0,0,14388,14,400,4,4,4,0,7,0,0,0,0,0,1,2,0,-1.0,0,1
6268,11,2,2,13,0,3,12,3,1,2,31,0,0,0,1,6269,8,400,4,4,4,1,6,0,0,0,6,0,1,1,0,-1.0,1,1
2645,0,1,6,13,1,1,7,1,1,2,32,0,0,0,1,2646,4,400,2,4,4,3,4,0,0,0,1,0,1,0,0,-1.0,1,1
3443,8,2,2,9,1,2,9,2,1,2,26,0,1,0,1,3444,13,400,3,4,4,0,6,0,0,0,6,0,1,0,1,-1.0,1,1
767,4,4,2,17,1,7,5,4,1,1,53,0,1,0,1,768,4,400,4,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,1,1
9562,4,4,1,17,1,7,5,4,1,1,65,0,0,0,1,9563,14,400,4,4,4,5,7,0,0,0,6,0,1,1,0,-1.0,1,1
9690,2,2,6,6,1,1,3,3,1,1,29,1,1,0,1,9691,13,300,1,4,4,0,3,0,0,0,0,2,1,1,1,-1.0,1,1
15415,9,4,0,17,1,6,10,5,1,1,35,0,1,0,1,15416,5,400,4,4,4,3,5,0,0,0,0,0,1,2,1,-1.0,1,1
15345,9,2,5,2,1,1,10,3,1,1,46,0,1,0,1,15346,11,700,1,4,4,0,7,0,0,0,0,0,1,2,1,-1.0,1,1
13915,1,1,2,9,1,5,2,2,1,2,34,0,4,1,5,13916,15,400,1,4,4,0,5,0,0,0,3,0,1,2,1,-1.0,2,1
2805,0,2,5,5,1,6,1,3,1,1,44,0,0,0,1,2806,15,500,1,4,4,0,6,0,0,0,6,2,1,0,0,-1.0,1,1
10876,7,3,0,5,0,7,8,4,1,1,55,0,6,2,5,10877,9,400,4,4,4,1,7,0,0,0,6,0,1,1,0,-1.0,2,1
28,5,1,2,6,1,6,12,4,1,2,0,0,0,0,5,29,9,400,1,4,4,0,0,0,0,0,0,0,1,0,0,-1.0,2,1
4158,6,1,6,6,1,2,7,1,1,1,30,0,1,0,5,4159,14,400,4,4,4,3,5,0,0,0,6,4,2,0,1,-1.0,2,1
2922,0,3,2,5,0,2,9,1,1,2,34,0,1,0,1,2923,6,400,4,4,4,3,5,0,0,0,0,0,1,0,1,-1.0,1,1
118,9,5,1,9,1,7,3,1,1,2,68,0,0,0,1,119,9,400,3,4,4,3,4,0,0,0,0,0,1,0,0,-1.0,1,1
10732,7,2,2,13,1,2,8,4,1,2,26,0,1,0,1,10733,6,400,2,4,4,3,5,1,0,0,1,0,1,1,1,-1.0,1,1
2185,7,3,3,13,1,2,8,4,1,1,44,0,1,0,0,2186,11,400,3,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,0,1
3833,8,4,2,13,1,5,9,4,1,2,66,0,0,0,1,3834,2,400,1,4,4,1,7,0,0,0,3,0,1,0,0,-1.0,1,1
11807,0,4,1,6,1,6,1,4,1,1,39,0,4,1,5,11808,7,400,4,4,4,0,6,0,0,0,6,0,1,2,1,-1.0,2,1
5497,1,1,4,13,1,5,12,1,1,1,40,0,0,0,1,5498,8,400,4,4,4,0,4,0,0,0,0,0,1,0,0,-1.0,1,1
6149,11,1,3,6,0,2,12,1,1,2,18,0,4,1,5,6150,6,400,4,4,4,0,4,0,0,0,0,0,1,1,1,-1.0,2,1
11577,10,3,1,6,1,1,10,4,1,1,35,1,1,0,2,11578,1,500,4,4,4,3,6,0,0,0,0,2,1,2,1,-1.0,1,1
4604,6,3,1,16,1,6,7,4,1,1,44,0,1,0,2,4605,13,400,2,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,1
12746,6,1,2,13,1,7,7,3,0,1,53,0,0,0,1,12747,8,400,3,4,4,1,6,0,0,0,0,0,1,2,0,-1.0,1,1
1599,3,4,3,13,1,6,8,2,1,1,58,0,0,0,2,1600,5,400,4,4,4,3,7,0,0,0,6,0,3,0,0,-1.0,1,1
14133,1,3,0,9,1,2,2,4,0,1,31,0,1,0,2,14134,3,400,4,4,4,1,5,0,0,0,3,4,2,2,1,-1.0,1,1
5548,1,1,2,13,1,5,2,2,0,1,35,0,0,0,0,5549,7,400,4,4,4,1,4,0,0,0,6,0,1,0,0,-1.0,0,1
